"card","released_at","set","set_name","collector_number","scryfall_uri"
"Plains","1993-08-05","lea","Limited Edition Alpha","286","https://scryfall.com/card/lea/286/plains?utm_source=api"
"Plains","1993-08-05","lea","Limited Edition Alpha","287","https://scryfall.com/card/lea/287/plains?utm_source=api"
"Island","1993-08-05","lea","Limited Edition Alpha","288","https://scryfall.com/card/lea/288/island?utm_source=api"
"Island","1993-08-05","lea","Limited Edition Alpha","289","https://scryfall.com/card/lea/289/island?utm_source=api"
"Swamp","1993-08-05","lea","Limited Edition Alpha","290","https://scryfall.com/card/lea/290/swamp?utm_source=api"
"Swamp","1993-08-05","lea","Limited Edition Alpha","291","https://scryfall.com/card/lea/291/swamp?utm_source=api"
"Mountain","1993-08-05","lea","Limited Edition Alpha","292","https://scryfall.com/card/lea/292/mountain?utm_source=api"
"Mountain","1993-08-05","lea","Limited Edition Alpha","293","https://scryfall.com/card/lea/293/mountain?utm_source=api"
"Forest","1993-08-05","lea","Limited Edition Alpha","294","https://scryfall.com/card/lea/294/forest?utm_source=api"
"Forest","1993-08-05","lea","Limited Edition Alpha","295","https://scryfall.com/card/lea/295/forest?utm_source=api"
"Plains","1993-10-04","leb","Limited Edition Beta","288","https://scryfall.com/card/leb/288/plains?utm_source=api"
"Plains","1993-10-04","leb","Limited Edition Beta","289","https://scryfall.com/card/leb/289/plains?utm_source=api"
"Plains","1993-10-04","leb","Limited Edition Beta","290","https://scryfall.com/card/leb/290/plains?utm_source=api"
"Island","1993-10-04","leb","Limited Edition Beta","291","https://scryfall.com/card/leb/291/island?utm_source=api"
"Island","1993-10-04","leb","Limited Edition Beta","292","https://scryfall.com/card/leb/292/island?utm_source=api"
"Island","1993-10-04","leb","Limited Edition Beta","293","https://scryfall.com/card/leb/293/island?utm_source=api"
"Swamp","1993-10-04","leb","Limited Edition Beta","294","https://scryfall.com/card/leb/294/swamp?utm_source=api"
"Swamp","1993-10-04","leb","Limited Edition Beta","295","https://scryfall.com/card/leb/295/swamp?utm_source=api"
"Swamp","1993-10-04","leb","Limited Edition Beta","296","https://scryfall.com/card/leb/296/swamp?utm_source=api"
"Mountain","1993-10-04","leb","Limited Edition Beta","297","https://scryfall.com/card/leb/297/mountain?utm_source=api"
"Mountain","1993-10-04","leb","Limited Edition Beta","298","https://scryfall.com/card/leb/298/mountain?utm_source=api"
"Mountain","1993-10-04","leb","Limited Edition Beta","299","https://scryfall.com/card/leb/299/mountain?utm_source=api"
"Forest","1993-10-04","leb","Limited Edition Beta","300","https://scryfall.com/card/leb/300/forest?utm_source=api"
"Forest","1993-10-04","leb","Limited Edition Beta","301","https://scryfall.com/card/leb/301/forest?utm_source=api"
"Forest","1993-10-04","leb","Limited Edition Beta","302","https://scryfall.com/card/leb/302/forest?utm_source=api"
"Plains","1993-12-01","2ed","Unlimited Edition","288","https://scryfall.com/card/2ed/288/plains?utm_source=api"
"Plains","1993-12-01","2ed","Unlimited Edition","289","https://scryfall.com/card/2ed/289/plains?utm_source=api"
"Plains","1993-12-01","2ed","Unlimited Edition","290","https://scryfall.com/card/2ed/290/plains?utm_source=api"
"Island","1993-12-01","2ed","Unlimited Edition","291","https://scryfall.com/card/2ed/291/island?utm_source=api"
"Island","1993-12-01","2ed","Unlimited Edition","292","https://scryfall.com/card/2ed/292/island?utm_source=api"
"Island","1993-12-01","2ed","Unlimited Edition","293","https://scryfall.com/card/2ed/293/island?utm_source=api"
"Swamp","1993-12-01","2ed","Unlimited Edition","294","https://scryfall.com/card/2ed/294/swamp?utm_source=api"
"Swamp","1993-12-01","2ed","Unlimited Edition","295","https://scryfall.com/card/2ed/295/swamp?utm_source=api"
"Swamp","1993-12-01","2ed","Unlimited Edition","296","https://scryfall.com/card/2ed/296/swamp?utm_source=api"
"Mountain","1993-12-01","2ed","Unlimited Edition","297","https://scryfall.com/card/2ed/297/mountain?utm_source=api"
"Mountain","1993-12-01","2ed","Unlimited Edition","298","https://scryfall.com/card/2ed/298/mountain?utm_source=api"
"Mountain","1993-12-01","2ed","Unlimited Edition","299","https://scryfall.com/card/2ed/299/mountain?utm_source=api"
"Forest","1993-12-01","2ed","Unlimited Edition","300","https://scryfall.com/card/2ed/300/forest?utm_source=api"
