"card","released_at","set","set_name","collector_number","scryfall_uri"
"Mountain","1993-08-05","lea","Limited Edition Alpha","292","https://scryfall.com/card/lea/292/mountain?utm_source=api"
"Mountain","1993-08-05","lea","Limited Edition Alpha","293","https://scryfall.com/card/lea/293/mountain?utm_source=api"
"Mountain","1993-10-04","leb","Limited Edition Beta","297","https://scryfall.com/card/leb/297/mountain?utm_source=api"
"Mountain","1993-10-04","leb","Limited Edition Beta","298","https://scryfall.com/card/leb/298/mountain?utm_source=api"
"Mountain","1993-10-04","leb","Limited Edition Beta","299","https://scryfall.com/card/leb/299/mountain?utm_source=api"
"Mountain","1993-12-01","2ed","Unlimited Edition","297","https://scryfall.com/card/2ed/297/mountain?utm_source=api"
"Mountain","1993-12-01","2ed","Unlimited Edition","298","https://scryfall.com/card/2ed/298/mountain?utm_source=api"
"Mountain","1993-12-01","2ed","Unlimited Edition","299","https://scryfall.com/card/2ed/299/mountain?utm_source=api"
"Mountain","1993-12-10","ced","Collectors' Edition","297","https://scryfall.com/card/ced/297/mountain?utm_source=api"
"Mountain","1993-12-10","ced","Collectors' Edition","298","https://scryfall.com/card/ced/298/mountain?utm_source=api"
"Mountain","1993-12-10","ced","Collectors' Edition","299","https://scryfall.com/card/ced/299/mountain?utm_source=api"
"Mountain","1993-12-10","cei","Intl. Collectors' Edition","297","https://scryfall.com/card/cei/297/mountain?utm_source=api"
"Mountain","1993-12-10","cei","Intl. Collectors' Edition","298","https://scryfall.com/card/cei/298/mountain?utm_source=api"
"Mountain","1993-12-10","cei","Intl. Collectors' Edition","299","https://scryfall.com/card/cei/299/mountain?utm_source=api"
"Mountain","1993-12-17","arn","Arabian Nights","77","https://scryfall.com/card/arn/77/mountain?utm_source=api"
"Mountain","1994-04-11","3ed","Revised Edition","301","https://scryfall.com/card/3ed/301/mountain?utm_source=api"
"Mountain","1994-04-11","3ed","Revised Edition","302","https://scryfall.com/card/3ed/302/mountain?utm_source=api"
"Mountain","1994-04-11","3ed","Revised Edition","303","https://scryfall.com/card/3ed/303/mountain?utm_source=api"
"Mountain","1994-04-11","fbb","Foreign Black Border","301","https://scryfall.com/card/fbb/301/fr/montagne-(mountain)?utm_source=api"
"Mountain","1994-04-11","fbb","Foreign Black Border","302","https://scryfall.com/card/fbb/302/fr/montagne-(mountain)?utm_source=api"
"Mountain","1994-04-11","fbb","Foreign Black Border","303","https://scryfall.com/card/fbb/303/fr/montagne-(mountain)?utm_source=api"
"Mountain","1994-06-21","sum","Summer Magic / Edgar","301","https://scryfall.com/card/sum/301/mountain?utm_source=api"
"Mountain","1994-06-21","sum","Summer Magic / Edgar","302","https://scryfall.com/card/sum/302/mountain?utm_source=api"
"Mountain","1994-06-21","sum","Summer Magic / Edgar","303","https://scryfall.com/card/sum/303/mountain?utm_source=api"
"Mountain","1995-04-01","4bb","Fourth Edition Foreign Black Border","373","https://scryfall.com/card/4bb/373/es/monta%C3%B1a-(mountain)?utm_source=api"
"Mountain","1995-04-01","4bb","Fourth Edition Foreign Black Border","374","https://scryfall.com/card/4bb/374/es/monta%C3%B1a-(mountain)?utm_source=api"
"Mountain","1995-04-01","4bb","Fourth Edition Foreign Black Border","375","https://scryfall.com/card/4bb/375/es/monta%C3%B1a-(mountain)?utm_source=api"
"Mountain","1995-04-01","4ed","Fourth Edition","373","https://scryfall.com/card/4ed/373/mountain?utm_source=api"
"Mountain","1995-04-01","4ed","Fourth Edition","374","https://scryfall.com/card/4ed/374/mountain?utm_source=api"
"Mountain","1995-04-01","4ed","Fourth Edition","375","https://scryfall.com/card/4ed/375/mountain?utm_source=api"
"Mountain","1995-06-03","ice","Ice Age","376","https://scryfall.com/card/ice/376/mountain?utm_source=api"
"Mountain","1995-06-03","ice","Ice Age","377","https://scryfall.com/card/ice/377/mountain?utm_source=api"
"Mountain","1995-06-03","ice","Ice Age","378","https://scryfall.com/card/ice/378/mountain?utm_source=api"
"Snow-Covered Mountain","1995-06-03","ice","Ice Age","379","https://scryfall.com/card/ice/379/snow-covered-mountain?utm_source=api"
"Mountain","1996-05-01","ptc","Pro Tour Collector Set","et373","https://scryfall.com/card/ptc/et373/mountain?utm_source=api"
"Mountain","1996-05-01","ptc","Pro Tour Collector Set","et374","https://scryfall.com/card/ptc/et374/mountain?utm_source=api"
