"card","released_at","set","set_name","collector_number","scryfall_uri"
"Wastes","2016-01-22","ogw","Oath of the Gatewatch","183","https://scryfall.com/card/ogw/183/wastes?utm_source=api"
"Wastes","2016-01-22","ogw","Oath of the Gatewatch","183a","https://scryfall.com/card/ogw/183a/wastes?utm_source=api"
"Wastes","2016-01-22","ogw","Oath of the Gatewatch","184","https://scryfall.com/card/ogw/184/wastes?utm_source=api"
"Wastes","2016-01-22","ogw","Oath of the Gatewatch","184a","https://scryfall.com/card/ogw/184a/wastes?utm_source=api"
"Wastes","2020-09-01","plst","The List","OGW-183","https://scryfall.com/card/plst/OGW-183/wastes?utm_source=api"
"Wastes","2021-03-19","tsr","Time Spiral Remastered","410","https://scryfall.com/card/tsr/410/wastes?utm_source=api"
"Wastes","2022-12-02","j22","Jumpstart 2022","834","https://scryfall.com/card/j22/834/wastes?utm_source=api"
"Wastes","2023-08-04","cmm","Commander Masters","1055","https://scryfall.com/card/cmm/1055/wastes?utm_source=api"
"Wastes","2023-08-04","cmm","Commander Masters","1056","https://scryfall.com/card/cmm/1056/wastes?utm_source=api"
"Wastes","2024-06-14","m3c","Modern Horizons 3 Commander","408","https://scryfall.com/card/m3c/408/wastes?utm_source=api"
"Wastes","2025-04-11","plg25","Love Your LGS 2025","2","https://scryfall.com/card/plg25/2/wastes?utm_source=api"
"Wastes","2025-06-13","fin","Final Fantasy","309","https://scryfall.com/card/fin/309/wastes?utm_source=api"
"Wastes","2025-08-01","eoc","Edge of Eternities Commander","191","https://scryfall.com/card/eoc/191/wastes?utm_source=api"
