"card","released_at","set","set_name","collector_number","scryfall_uri"
"Forest","1993-08-05","lea","Limited Edition Alpha","294","https://scryfall.com/card/lea/294/forest?utm_source=api"
"Forest","1993-08-05","lea","Limited Edition Alpha","295","https://scryfall.com/card/lea/295/forest?utm_source=api"
"Forest","1993-10-04","leb","Limited Edition Beta","300","https://scryfall.com/card/leb/300/forest?utm_source=api"
"Forest","1993-10-04","leb","Limited Edition Beta","301","https://scryfall.com/card/leb/301/forest?utm_source=api"
"Forest","1993-10-04","leb","Limited Edition Beta","302","https://scryfall.com/card/leb/302/forest?utm_source=api"
"Forest","1993-12-01","2ed","Unlimited Edition","300","https://scryfall.com/card/2ed/300/forest?utm_source=api"
"Forest","1993-12-01","2ed","Unlimited Edition","301","https://scryfall.com/card/2ed/301/forest?utm_source=api"
"Forest","1993-12-01","2ed","Unlimited Edition","302","https://scryfall.com/card/2ed/302/forest?utm_source=api"
"Forest","1993-12-10","ced","Collectors' Edition","300","https://scryfall.com/card/ced/300/forest?utm_source=api"
"Forest","1993-12-10","ced","Collectors' Edition","301","https://scryfall.com/card/ced/301/forest?utm_source=api"
"Forest","1993-12-10","ced","Collectors' Edition","302","https://scryfall.com/card/ced/302/forest?utm_source=api"
"Forest","1993-12-10","cei","Intl. Collectors' Edition","300","https://scryfall.com/card/cei/300/forest?utm_source=api"
"Forest","1993-12-10","cei","Intl. Collectors' Edition","301","https://scryfall.com/card/cei/301/forest?utm_source=api"
"Forest","1993-12-10","cei","Intl. Collectors' Edition","302","https://scryfall.com/card/cei/302/forest?utm_source=api"
"Forest","1994-04-11","3ed","Revised Edition","304","https://scryfall.com/card/3ed/304/forest?utm_source=api"
"Forest","1994-04-11","3ed","Revised Edition","305","https://scryfall.com/card/3ed/305/forest?utm_source=api"
"Forest","1994-04-11","3ed","Revised Edition","306","https://scryfall.com/card/3ed/306/forest?utm_source=api"
"Forest","1994-06-21","sum","Summer Magic / Edgar","304","https://scryfall.com/card/sum/304/forest?utm_source=api"
"Forest","1994-06-21","sum","Summer Magic / Edgar","305","https://scryfall.com/card/sum/305/forest?utm_source=api"
"Forest","1994-06-21","sum","Summer Magic / Edgar","306","https://scryfall.com/card/sum/306/forest?utm_source=api"
"Forest","1995-04-01","4ed","Fourth Edition","376","https://scryfall.com/card/4ed/376/forest?utm_source=api"
"Forest","1995-04-01","4ed","Fourth Edition","377","https://scryfall.com/card/4ed/377/forest?utm_source=api"
"Forest","1995-04-01","4ed","Fourth Edition","378","https://scryfall.com/card/4ed/378/forest?utm_source=api"
"Forest","1995-06-03","ice","Ice Age","380","https://scryfall.com/card/ice/380/forest?utm_source=api"
"Forest","1995-06-03","ice","Ice Age","381","https://scryfall.com/card/ice/381/forest?utm_source=api"
"Forest","1995-06-03","ice","Ice Age","382","https://scryfall.com/card/ice/382/forest?utm_source=api"
"Snow-Covered Forest","1995-06-03","ice","Ice Age","383","https://scryfall.com/card/ice/383/snow-covered-forest?utm_source=api"
"Forest","1996-05-01","ptc","Pro Tour Collector Set","bl376","https://scryfall.com/card/ptc/bl376/forest?utm_source=api"
"Forest","1996-05-01","ptc","Pro Tour Collector Set","bl377","https://scryfall.com/card/ptc/bl377/forest?utm_source=api"
"Forest","1996-05-01","ptc","Pro Tour Collector Set","bl378","https://scryfall.com/card/ptc/bl378/forest?utm_source=api"
"Forest","1996-05-01","ptc","Pro Tour Collector Set","pp376","https://scryfall.com/card/ptc/pp376/forest?utm_source=api"
"Forest","1996-05-01","ptc","Pro Tour Collector Set","pp377","https://scryfall.com/card/ptc/pp377/forest?utm_source=api"
"Forest","1996-05-01","ptc","Pro Tour Collector Set","pp378","https://scryfall.com/card/ptc/pp378/forest?utm_source=api"
