"card","released_at","set","set_name","collector_number","scryfall_uri"
"Island","1993-08-05","lea","Limited Edition Alpha","288","https://scryfall.com/card/lea/288/island?utm_source=api"
"Island","1993-08-05","lea","Limited Edition Alpha","289","https://scryfall.com/card/lea/289/island?utm_source=api"
"Island","1993-10-04","leb","Limited Edition Beta","291","https://scryfall.com/card/leb/291/island?utm_source=api"
"Island","1993-10-04","leb","Limited Edition Beta","292","https://scryfall.com/card/leb/292/island?utm_source=api"
"Island","1993-10-04","leb","Limited Edition Beta","293","https://scryfall.com/card/leb/293/island?utm_source=api"
"Island","1993-12-01","2ed","Unlimited Edition","291","https://scryfall.com/card/2ed/291/island?utm_source=api"
"Island","1993-12-01","2ed","Unlimited Edition","292","https://scryfall.com/card/2ed/292/island?utm_source=api"
"Island","1993-12-01","2ed","Unlimited Edition","293","https://scryfall.com/card/2ed/293/island?utm_source=api"
"Island","1994-04-11","3ed","Revised Edition","295","https://scryfall.com/card/3ed/295/island?utm_source=api"
"Island","1994-04-11","3ed","Revised Edition","296","https://scryfall.com/card/3ed/296/island?utm_source=api"
"Island","1994-04-11","3ed","Revised Edition","297","https://scryfall.com/card/3ed/297/island?utm_source=api"
"Island","1994-06-21","sum","Summer Magic / Edgar","295","https://scryfall.com/card/sum/295/island?utm_source=api"
"Island","1994-06-21","sum","Summer Magic / Edgar","296","https://scryfall.com/card/sum/296/island?utm_source=api"
"Island","1994-06-21","sum","Summer Magic / Edgar","297","https://scryfall.com/card/sum/297/island?utm_source=api"
"Island","1995-04-01","4ed","Fourth Edition","367","https://scryfall.com/card/4ed/367/island?utm_source=api"
"Island","1995-04-01","4ed","Fourth Edition","368","https://scryfall.com/card/4ed/368/island?utm_source=api"
"Island","1995-04-01","4ed","Fourth Edition","369","https://scryfall.com/card/4ed/369/island?utm_source=api"
"Island","1995-06-03","ice","Ice Age","368","https://scryfall.com/card/ice/368/island?utm_source=api"
"Island","1995-06-03","ice","Ice Age","369","https://scryfall.com/card/ice/369/island?utm_source=api"
"Island","1995-06-03","ice","Ice Age","370","https://scryfall.com/card/ice/370/island?utm_source=api"
"Snow-Covered Island","1995-06-03","ice","Ice Age","371","https://scryfall.com/card/ice/371/snow-covered-island?utm_source=api"
