"card","released_at","set","set_name","collector_number","scryfall_uri"
"Plains","1993-08-05","lea","Limited Edition Alpha","286","https://scryfall.com/card/lea/286/plains?utm_source=api"
"Plains","1993-08-05","lea","Limited Edition Alpha","287","https://scryfall.com/card/lea/287/plains?utm_source=api"
"Plains","1993-10-04","leb","Limited Edition Beta","288","https://scryfall.com/card/leb/288/plains?utm_source=api"
"Plains","1993-10-04","leb","Limited Edition Beta","289","https://scryfall.com/card/leb/289/plains?utm_source=api"
"Plains","1993-10-04","leb","Limited Edition Beta","290","https://scryfall.com/card/leb/290/plains?utm_source=api"
"Plains","1993-12-01","2ed","Unlimited Edition","288","https://scryfall.com/card/2ed/288/plains?utm_source=api"
"Plains","1993-12-01","2ed","Unlimited Edition","289","https://scryfall.com/card/2ed/289/plains?utm_source=api"
"Plains","1993-12-01","2ed","Unlimited Edition","290","https://scryfall.com/card/2ed/290/plains?utm_source=api"
"Plains","1993-12-10","ced","Collectors' Edition","288","https://scryfall.com/card/ced/288/plains?utm_source=api"
"Plains","1993-12-10","ced","Collectors' Edition","289","https://scryfall.com/card/ced/289/plains?utm_source=api"
"Plains","1993-12-10","ced","Collectors' Edition","290","https://scryfall.com/card/ced/290/plains?utm_source=api"
"Plains","1993-12-10","cei","Intl. Collectors' Edition","288","https://scryfall.com/card/cei/288/plains?utm_source=api"
"Plains","1993-12-10","cei","Intl. Collectors' Edition","289","https://scryfall.com/card/cei/289/plains?utm_source=api"
"Plains","1993-12-10","cei","Intl. Collectors' Edition","290","https://scryfall.com/card/cei/290/plains?utm_source=api"
"Plains","1994-04-11","3ed","Revised Edition","292","https://scryfall.com/card/3ed/292/plains?utm_source=api"
"Plains","1994-04-11","3ed","Revised Edition","293","https://scryfall.com/card/3ed/293/plains?utm_source=api"
"Plains","1994-04-11","3ed","Revised Edition","294","https://scryfall.com/card/3ed/294/plains?utm_source=api"
"Plains","1994-06-21","sum","Summer Magic / Edgar","292","https://scryfall.com/card/sum/292/plains?utm_source=api"
"Plains","1994-06-21","sum","Summer Magic / Edgar","293","https://scryfall.com/card/sum/293/plains?utm_source=api"
"Plains","1994-06-21","sum","Summer Magic / Edgar","294","https://scryfall.com/card/sum/294/plains?utm_source=api"
"Plains","1995-04-01","4ed","Fourth Edition","364","https://scryfall.com/card/4ed/364/plains?utm_source=api"
"Plains","1995-04-01","4ed","Fourth Edition","365","https://scryfall.com/card/4ed/365/plains?utm_source=api"
"Plains","1995-04-01","4ed","Fourth Edition","366","https://scryfall.com/card/4ed/366/plains?utm_source=api"
"Plains","1995-06-03","ice","Ice Age","364","https://scryfall.com/card/ice/364/plains?utm_source=api"
"Plains","1995-06-03","ice","Ice Age","365","https://scryfall.com/card/ice/365/plains?utm_source=api"
"Plains","1995-06-03","ice","Ice Age","366","https://scryfall.com/card/ice/366/plains?utm_source=api"
"Snow-Covered Plains","1995-06-03","ice","Ice Age","367","https://scryfall.com/card/ice/367/snow-covered-plains?utm_source=api"
"Plains","1996-05-01","ptc","Pro Tour Collector Set","bl364","https://scryfall.com/card/ptc/bl364/plains?utm_source=api"
"Plains","1996-05-01","ptc","Pro Tour Collector Set","bl365","https://scryfall.com/card/ptc/bl365/plains?utm_source=api"
"Plains","1996-05-01","ptc","Pro Tour Collector Set","bl366","https://scryfall.com/card/ptc/bl366/plains?utm_source=api"
"Plains","1996-05-01","ptc","Pro Tour Collector Set","et364","https://scryfall.com/card/ptc/et364/plains?utm_source=api"
"Plains","1996-05-01","ptc","Pro Tour Collector Set","et365","https://scryfall.com/card/ptc/et365/plains?utm_source=api"
"Plains","1996-05-01","ptc","Pro Tour Collector Set","et366","https://scryfall.com/card/ptc/et366/plains?utm_source=api"
"Plains","1996-05-01","ptc","Pro Tour Collector Set","mj364","https://scryfall.com/card/ptc/mj364/plains?utm_source=api"
"Plains","1996-05-01","ptc","Pro Tour Collector Set","mj365","https://scryfall.com/card/ptc/mj365/plains?utm_source=api"
"Plains","1996-05-01","ptc","Pro Tour Collector Set","mj366","https://scryfall.com/card/ptc/mj366/plains?utm_source=api"
"Plains","1996-05-01","ptc","Pro Tour Collector Set","ml364","https://scryfall.com/card/ptc/ml364/plains?utm_source=api"
