"card","released_at","set","set_name","collector_number","scryfall_uri"
"Swamp","1993-08-05","lea","Limited Edition Alpha","290","https://scryfall.com/card/lea/290/swamp?utm_source=api"
"Swamp","1993-08-05","lea","Limited Edition Alpha","291","https://scryfall.com/card/lea/291/swamp?utm_source=api"
"Swamp","1993-10-04","leb","Limited Edition Beta","294","https://scryfall.com/card/leb/294/swamp?utm_source=api"
"Swamp","1993-10-04","leb","Limited Edition Beta","295","https://scryfall.com/card/leb/295/swamp?utm_source=api"
"Swamp","1993-10-04","leb","Limited Edition Beta","296","https://scryfall.com/card/leb/296/swamp?utm_source=api"
"Swamp","1993-12-01","2ed","Unlimited Edition","294","https://scryfall.com/card/2ed/294/swamp?utm_source=api"
"Swamp","1993-12-01","2ed","Unlimited Edition","295","https://scryfall.com/card/2ed/295/swamp?utm_source=api"
"Swamp","1993-12-01","2ed","Unlimited Edition","296","https://scryfall.com/card/2ed/296/swamp?utm_source=api"
"Swamp","1994-04-11","3ed","Revised Edition","298","https://scryfall.com/card/3ed/298/swamp?utm_source=api"
"Swamp","1994-04-11","3ed","Revised Edition","299","https://scryfall.com/card/3ed/299/swamp?utm_source=api"
"Swamp","1994-04-11","3ed","Revised Edition","300","https://scryfall.com/card/3ed/300/swamp?utm_source=api"
"Swamp","1994-06-21","sum","Summer Magic / Edgar","298","https://scryfall.com/card/sum/298/swamp?utm_source=api"
"Swamp","1994-06-21","sum","Summer Magic / Edgar","299","https://scryfall.com/card/sum/299/swamp?utm_source=api"
"Swamp","1994-06-21","sum","Summer Magic / Edgar","300","https://scryfall.com/card/sum/300/swamp?utm_source=api"
"Swamp","1995-04-01","4ed","Fourth Edition","370","https://scryfall.com/card/4ed/370/swamp?utm_source=api"
"Swamp","1995-04-01","4ed","Fourth Edition","371","https://scryfall.com/card/4ed/371/swamp?utm_source=api"
"Swamp","1995-04-01","4ed","Fourth Edition","372","https://scryfall.com/card/4ed/372/swamp?utm_source=api"
"Snow-Covered Swamp","1995-06-03","ice","Ice Age","372","https://scryfall.com/card/ice/372/snow-covered-swamp?utm_source=api"
"Swamp","1995-06-03","ice","Ice Age","373","https://scryfall.com/card/ice/373/swamp?utm_source=api"
